strain	accession	date	region	country	division	city
J0014	KP759740	2014-09-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10030	KT725257	2014-08-16	Subsaharan Africa	Liberia	Margibi	Margibi
77613_EMLK	KU296579	2015-01-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_004085	KR817091	2014-12-19	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
567_EMLH	KU296427	2015-02-03	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
14782_EMLK	KU296639	2015-04-23	Subsaharan Africa	Sierra Leone	Kambia	Kambia
J0051	KP759633	2014-10-07	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_079914	KR817225	2014-06-10	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
CON-8811	CON-8811	2015-06-27	Subsaharan Africa	Guinea	Dubreka	Dubreka
DML14163	KT357858	2015-07-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V20141397	KR653288	2014-09-28	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
KT5249	KU296601	2015-02-22	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
J0006	KP759630	2014-09-28	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL7689	KU296712	2015-06-06	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_076193	KR817143	2014-10-18	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
PL1387	KU296434	2015-01-04	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10031	KT725278	2014-08-16	Subsaharan Africa	Liberia	Margibi	Margibi
PL5428	KU296532	2015-03-27	Subsaharan Africa	Sierra Leone	Kambia	Kambia
REDC_GUI_2015_01323	REDC_GUI_2015_01323	2015-08-27	Subsaharan Africa	Guinea	Conakry	Conakry
J0114	KP759596	2014-10-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0027	KP759678	2014-10-02	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0094	KP759761	2014-10-27	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
V1686	KR534572	2014-10-24	Subsaharan Africa	Guinea	Coyah	Coyah
KG88	KG88	2015-06-19	Subsaharan Africa	Guinea	Boke	Boke
EM_004580	KR817105	2015-01-27	Subsaharan Africa	Guinea	Faranah	Faranah
PL7801	KU296327	2015-06-09	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK0388	KU296630	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_079414	KR817185	2014-03-31	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
LIBR10253	KT725282	2014-09-16	Subsaharan Africa	Liberia	Margibi	Margibi
77558_EMLK	KU296733	2015-01-02	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G3825	KM233098	2014-06-16	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR0177	KT725279	2014-11-14	Subsaharan Africa	Liberia	Montserrado	Montserrado
V20140910	KR653269	2014-09-18	Subsaharan Africa	Sierra Leone	Kenema	Kenema
J0075	KP759743	2014-10-17	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
G5647.1	KR105315	2014-09-11	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK10173	KU296313	2015-08-01	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
MK0869	KU296534	2015-01-05	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G4151.1	KR105215	2014-07-06	Subsaharan Africa	Sierra Leone	Kenema	Kenema
LIBR10224	KT725302	2014-09-26	Subsaharan Africa	Liberia	Montserrado	Montserrado
V20141061	KR653250	2014-09-21	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
MK2427	KU296759	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0159	KP759619	2014-11-05	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK3462	KU296565	2015-03-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_080132	KR817236	2014-06-24	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR10113	KT725367	2014-08-20	Subsaharan Africa	Liberia	Liberia	Liberia
480_EMLH	KU296491	2015-01-29	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK1036	KU296834	2015-01-11	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_000027	KR817068	2014-09-01	Subsaharan Africa	Guinea	Guinea	Guinea
V1339	KR534550	2014-10-08	Subsaharan Africa	Guinea	Coyah	Coyah
V1690	KR534574	2014-10-25	Subsaharan Africa	Guinea	Coyah	Coyah
EM_079731	KR817211	2014-05-18	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_004422	KR817097	2015-01-02	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
14729_EML	KU296392	2015-04-18	Subsaharan Africa	Sierra Leone	Kambia	Kambia
MK0885	KU296758	2015-01-06	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_FORE_2015_934	EM_FORE_2015_934	2015-06-23	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_000501	KR817077	2014-09-13	Subsaharan Africa	Guinea	Macenta	Macenta
PL7773	KU296417	2015-06-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0058	KP759724	2014-10-08	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0037	KP759615	2014-10-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0151	KP759613	2014-11-07	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL4249	KU296349	2015-03-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
PL9199	KU296371	2015-07-13	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0007	KP759631	2014-09-27	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
J0162	KP759622	2014-11-09	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_COY_2015_016263	EM_COY_2015_016263	2015-05-04	Subsaharan Africa	Guinea	Forecariah	Forecariah
G3838	KM233105	2014-06-17	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
DML12033	KT357813	2015-02-19	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
75750_EMLH	KU296464	2015-01-17	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL7055	KU296484	2015-05-15	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V701	KR534519	2014-08-22	Subsaharan Africa	Guinea	Conakry	Conakry
G4454.1	KR105258	2014-07-21	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
18659R_EMLH	KU296585	2015-07-10	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
V20140134	KR653227	2014-08-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_076534	KR817152	2014-11-01	Subsaharan Africa	Guinea	Macenta	Macenta
J0024	KP759663	2014-09-29	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
793_EMLH	KU296492	2015-02-13	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0060	KP759726	2014-10-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
508_EMLH	KU296304	2015-01-31	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G5520.1	KR105308	2014-09-05	Subsaharan Africa	Sierra Leone	Kenema	Kenema
18642R_EMLH	KU296357	2015-07-08	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10201	KT725306	2014-08-27	Subsaharan Africa	Liberia	Montserrado	Montserrado
12192_EMLH	KU296511	2015-02-23	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
12179_EMLH	KU296531	2015-02-22	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL7774	KU296589	2015-06-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V20140489	KR653235	2014-09-04	Subsaharan Africa	Sierra Leone	Kenema	Kenema
G6091.1	KR105346	2014-09-27	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
G3788	KM233075	2014-06-14	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G4333.1	KR105236	2014-07-13	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G3683	KM034561	2014-05-28	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
PL4763	KU296503	2015-03-14	Subsaharan Africa	Sierra Leone	Kambia	Kambia
PL7577	KU296385	2015-06-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK2437	KU296469	2015-02-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
PL4226	KU296615	2015-03-02	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G5529.1	KR105309	2014-09-05	Subsaharan Africa	Sierra Leone	Kono	Kono
V1105	KR534579	2014-09-24	Subsaharan Africa	Guinea	Conakry	Conakry
EM_000982	KR817086	2014-10-01	Subsaharan Africa	Guinea	Macenta	Macenta
EM_FORE_2015-2533	EM_FORE_2015-2533	2015-09-26	Subsaharan Africa	Guinea	Forecariah	Forecariah
77712_EMLK	KU296400	2015-01-10	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G3796	KM233078	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G5879.1	KR105330	2014-09-22	Subsaharan Africa	Sierra Leone	Pujehun	Pujehun
DML25123	KT357854	2015-02-18	Subsaharan Africa	Sierra Leone	Kenema	Kenema
G4861.1	KR105274	2014-08-10	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G4252.1	KR105224	2014-07-11	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
LIBR10017	KT725293	2014-08-19	Subsaharan Africa	Liberia	Montserrado	Montserrado
15314_EMLK	KU296600	2015-06-06	Subsaharan Africa	Sierra Leone	Kambia	Kambia
77594_EMLK	KU296343	2015-01-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
470_EMLH	KU296662	2015-01-29	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_079911	KR817222	2014-06-09	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
G4999.1	KR105291	2014-08-15	Subsaharan Africa	Sierra Leone	Kenema	Kenema
KG90	KG90	2015-06-19	Subsaharan Africa	Guinea	Boke	Boke
J0008	KP759718	2014-09-29	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
77675_EMLK	KU296807	2015-01-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
KT5214	KU296338	2015-02-20	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0047	KP759632	2014-10-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
G4445.1	KR105256	2014-07-21	Subsaharan Africa	Sierra Leone	Kenema	Kenema
MK0864	KU296334	2015-01-05	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0171	KP759707	2014-11-10	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK2448	KU296818	2015-02-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
G3750	KM233058	2014-06-10	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
J0034	KP759608	2014-09-30	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G5737.1	KR105321	2014-09-16	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
G4254.1	KR105225	2014-07-11	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
KT5788	KU296704	2015-03-07	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0018	KP759644	2014-09-30	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
EM_076949	KR817158	2014-11-13	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
V20143796	KR653257	2014-11-05	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
18660_EMLH	KU296838	2015-07-10	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
77578_EMLK	KU296806	2015-01-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_FORE_2015-2531	EM_FORE_2015-2531	2015-09-26	Subsaharan Africa	Guinea	Forecariah	Forecariah
G5244.1	KR105301	2014-08-22	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
KT5320	KU296809	2015-02-24	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
77677_EMLK	KU296558	2015-01-08	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_074437	KR817117	2014-08-01	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
J0157	KP759699	2014-11-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_074548	KR817123	2014-08-08	Subsaharan Africa	Liberia	Lofa	Lofa
G3913.1	KR105206	2014-06-21	Subsaharan Africa	Sierra Leone	Kenema	Kenema
EM_FORE_2015_896	EM_FORE_2015_896	2015-06-20	Subsaharan Africa	Guinea	Forecariah	Forecariah
KT2317	KU296735	2014-12-02	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0150	KP759696	2014-11-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL4190	KU296351	2015-03-01	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
DML12051	KT357814	2015-02-21	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10261	KT725287	2014-10-14	Subsaharan Africa	Liberia	Sinoe	Sinoe
77582_EMLK	KU296816	2015-01-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_000500	KR817076	2014-09-13	Subsaharan Africa	Guinea	Macenta	Macenta
LIBR1221	KT725384	2015-02-04	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM_076951	KR817159	2014-11-13	Subsaharan Africa	Guinea	Lola	Lola
DML12117	KT357816	2015-02-26	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
DML24853	KT357850	2015-02-06	Subsaharan Africa	Sierra Leone	Kono	Kono
PL3984	KU296330	2015-02-25	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0077	KP759745	2014-10-17	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
J0110	KP759660	2014-10-31	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_001101	KR817088	2014-10-05	Subsaharan Africa	Guinea	Macenta	Macenta
12178_EMLH	KU296525	2015-02-22	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10156	KT725352	2014-09-13	Subsaharan Africa	Liberia	Grand Bassa	Grand Bassa
77572_EMLK	KU296508	2015-01-03	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
V691	KR534518	2014-08-21	Subsaharan Africa	Guinea	Conakry	Conakry
EM_004481	KR817100	2015-01-11	Subsaharan Africa	Guinea	Faranah	Faranah
EM_000218	KR817072	2014-09-07	Subsaharan Africa	Guinea	Macenta	Macenta
12180_EMLH	KU296310	2015-02-22	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_080269	KR817245	2014-07-12	Subsaharan Africa	Liberia	Liberia	Liberia
EM_074531	KR817122	2014-08-08	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_080011	KR817229	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
KG167	KG167	2015-06-29	Subsaharan Africa	Guinea	Boke	Boke
G6104.1	KR105349	2014-09-28	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
EM_080193	KR817239	2014-06-29	Subsaharan Africa	Liberia	Liberia	Liberia
EM_079910	KR817221	2014-06-09	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
G6062.1	KR105343	2014-09-25	Subsaharan Africa	Sierra Leone	Pujehun	Pujehun
EM_COY_2015_017018	EM_COY_2015_017018	2015-05-26	Subsaharan Africa	Guinea	Forecariah	Forecariah
PL8310	KU296618	2015-06-21	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_079421	KR817186	2014-03-30	Subsaharan Africa	Guinea	Macenta	Macenta
V1571	KR534566	2014-10-20	Subsaharan Africa	Guinea	Forecariah	Forecariah
V989	KR534526	2014-09-15	Subsaharan Africa	Guinea	Forecariah	Forecariah
J0173	KP759627	2014-11-11	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
J0065	KP759729	2014-10-09	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
19560R_EMLK	KU296580	2015-07-07	Subsaharan Africa	Sierra Leone	Kambia	Kambia
Conakry_633	KR534512	2014-08-12	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_COY_2015_017865	EM_COY_2015_017865	2015-06-18	Subsaharan Africa	Guinea	Dubreka	Dubreka
77649_EMLK	KU296380	2015-01-07	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL4804	KU296766	2015-03-15	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR10237	KT725275	2014-07-11	Subsaharan Africa	Liberia	Liberia	Liberia
EM_080003	KR817228	2014-06-14	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G5853.1	KR105329	2014-09-21	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
PL5202	KU296396	2015-03-23	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0071	KP759736	2014-10-09	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V1568	KR534565	2014-10-18	Subsaharan Africa	Guinea	Forecariah	Forecariah
V1445	KR534559	2014-10-14	Subsaharan Africa	Guinea	Conakry	Conakry
EM_078706	KR817173	2014-12-15	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
CON-10786	CON-10786	2015-08-17	Subsaharan Africa	Guinea	Conakry	Conakry
V20143317	KR653282	2014-10-29	Subsaharan Africa	Sierra Leone	Bombali	Bombali
651_EMLH	KU296457	2015-02-07	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0012	KP759642	2014-09-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
PL5534	KU296784	2015-03-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
LIBR0059	KR006941	2014-11-05	Subsaharan Africa	Liberia	Rivercess	Rivercess
LIBR10062	KT725359	2014-09-23	Subsaharan Africa	Liberia	Liberia	Liberia
MK2344	KU296586	2015-02-24	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_COY_2015_016267	EM_COY_2015_016267	2015-05-04	Subsaharan Africa	Guinea	Dubreka	Dubreka
EM_FORE_2015_781	EM_FORE_2015_781	2015-06-13	Subsaharan Africa	Guinea	Forecariah	Forecariah
MK2366	KU296810	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0155	KP759697	2014-11-07	Subsaharan Africa	Sierra Leone	Western Area	Western Area
PL7709	KU296426	2015-06-06	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
G4132.1	KR105213	2014-07-05	Subsaharan Africa	Sierra Leone	Kenema	Kenema
LIBR10180	KT725391	2014-10-11	Subsaharan Africa	Liberia	Montserrado	Montserrado
EM_079912	KR817223	2014-06-09	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
Gueckedou-C07	KJ660347	2014-03-20	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
EM_076403	KR817149	2014-10-27	Subsaharan Africa	Guinea	Macenta	Macenta
DML24592	KT357833	2015-01-20	Subsaharan Africa	Sierra Leone	Kono	Kono
LIBR10112	KT725365	2014-08-20	Subsaharan Africa	Liberia	River Gee	River Gee
J0011	KP759641	2014-09-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20140174	KR653294	2014-08-27	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK2343	KU296640	2015-02-24	Subsaharan Africa	Sierra Leone	Bombali	Bombali
KT4801	KU296722	2015-02-10	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_COY_2015_022059	EM_COY_2015_022059	2015-07-02	Subsaharan Africa	Guinea	Forecariah	Forecariah
LIBR1195	KR006961	2015-02-02	Subsaharan Africa	Liberia	Margibi	Margibi
LIBR10170	KT725350	2014-08-17	Subsaharan Africa	Liberia	Montserrado	Montserrado
LIBR0067	KR006943	2014-11-06	Subsaharan Africa	Liberia	Bomi	Bomi
J0025	KP759666	2014-10-02	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL4483	KU296389	2015-03-08	Subsaharan Africa	Sierra Leone	Kambia	Kambia
J0108	KP759659	2014-10-28	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL4330	KU296624	2015-03-05	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_FORE_2015_1437	EM_FORE_2015_1437	2015-07-15	Subsaharan Africa	Guinea	Forecariah	Forecariah
EM_000502	KR817078	2014-09-13	Subsaharan Africa	Guinea	Macenta	Macenta
EM_000958	KR817084	2014-09-30	Subsaharan Africa	Guinea	Nzerekore	Nzerekore
G4316.1	KR105231	2014-07-13	Subsaharan Africa	Sierra Leone	Kenema	Kenema
V20143360	KR653258	2014-10-30	Subsaharan Africa	Sierra Leone	Kenema	Kenema
IPDPFHguineaSP_GUI_2015_5339	IPDPFHguineaSP_GUI_2015_5339	2015-04-08	Subsaharan Africa	Guinea	Conakry	Conakry
EM-FORE-2015-631	EM-FORE-2015-631	2015-06-02	Subsaharan Africa	Guinea	Forecariah	Forecariah
J0055	KP759723	2014-10-06	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V1481	KR534575	2014-10-15	Subsaharan Africa	Guinea	Conakry	Conakry
MK2405	KU296542	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0028	KP759683	2014-10-02	Subsaharan Africa	Sierra Leone	Bombali	Bombali
MK2369	KU296832	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
Goderich1	KT345616	2015-02-19	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
490_EMLH	KU296746	2015-01-30	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
77529_EMLK	KU296477	2014-12-30	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
PL8128	KU296340	2015-06-16	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20144819	KR653299	2014-11-15	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
77632_EMLK	KU296710	2015-01-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL4696	KU296513	2015-03-13	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_COY_2015_014261	EM_COY_2015_014261	2015-04-02	Subsaharan Africa	Guinea	Forecariah	Forecariah
PL4561	KU296725	2015-03-10	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
J0026	KP759670	2014-10-02	Subsaharan Africa	Sierra Leone	Bombali	Bombali
V1278	KR534544	2014-10-04	Subsaharan Africa	Guinea	Coyah	Coyah
G4217.1	KR105218	2014-07-08	Subsaharan Africa	Sierra Leone	Bo	Bo
EM_079542	KR817199	2014-04-12	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
DML25411	KT357857	2015-03-10	Subsaharan Africa	Sierra Leone	Kono	Kono
V20146553	KR653224	2014-12-22	Subsaharan Africa	Sierra Leone	Koinadugu	Koinadugu
G5644.1	KR105314	2014-09-11	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_080261	KR817243	2014-07-12	Subsaharan Africa	Liberia	Lofa	Lofa
V20141282	KR653229	2014-09-23	Subsaharan Africa	Sierra Leone	Kambia	Kambia
12189_EMLH	KU296369	2015-02-23	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR11177	KT725358	2014-10-05	Subsaharan Africa	Liberia	Margibi	Margibi
PL4671	KU296782	2015-03-12	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
PL4094	KU296476	2015-02-27	Subsaharan Africa	Sierra Leone	Kambia	Kambia
12580_EMLH	KU296574	2015-03-20	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
PL7678	KU296625	2015-06-06	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_004589	KR817106	2015-01-31	Subsaharan Africa	Guinea	Siguiri	Siguiri
LIBR10098	KT725383	2014-08-17	Subsaharan Africa	Liberia	Liberia	Liberia
J0101	KP759656	2014-10-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
NM042	KM233116	2014-06-04	Subsaharan Africa	Sierra Leone	Kambia	Kambia
LIBR10089	KT725377	2014-08-17	Subsaharan Africa	Liberia	Liberia	Liberia
G4937.1	KR105278	2014-08-13	Subsaharan Africa	Sierra Leone	Kenema	Kenema
448_EMLH	KU296797	2015-01-27	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G5064.1	KR105297	2014-08-17	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
IPDPFHguineaSP_GUI_2015_6899	IPDPFHguineaSP_GUI_2015_6899	2015-05-14	Subsaharan Africa	Guinea	Boke	Boke
J0160	KP759621	2014-11-07	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
MK3043	KU296474	2015-03-14	Subsaharan Africa	Sierra Leone	Bombali	Bombali
MK0664	KU296761	2014-12-30	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_FORE_2015_1118	EM_FORE_2015_1118	2015-07-02	Subsaharan Africa	Guinea	Forecariah	Forecariah
G4450.1	KR105257	2014-07-21	Subsaharan Africa	Sierra Leone	Kenema	Kenema
EM_078709	KR817174	2014-12-14	Subsaharan Africa	Guinea	Kerouane	Kerouane
18538_EMLH	KU296727	2015-07-04	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
614_EMLH	KU296597	2015-02-05	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
EM_FORE_2015_1047	EM_FORE_2015_1047	2015-06-30	Subsaharan Africa	Guinea	Forecariah	Forecariah
G3713	KM233050	2014-06-09	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G3799	KM233080	2014-06-15	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
G3886.1	KR105204	2014-06-19	Subsaharan Africa	Sierra Leone	Kenema	Kenema
DML24502	KT357825	2015-01-13	Subsaharan Africa	Sierra Leone	Kono	Kono
PL5868	KU296550	2015-04-06	Subsaharan Africa	Sierra Leone	Kambia	Kambia
EM_078656	KR817168	2014-12-09	Subsaharan Africa	Guinea	Kouroussa	Kouroussa
LIBR10051	KT725368	2014-10-01	Subsaharan Africa	Liberia	Liberia	Liberia
PL9150	KU296522	2015-07-12	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
MK0392	KU296691	2014-12-22	Subsaharan Africa	Sierra Leone	Bombali	Bombali
LIBR10053	KR006963	2014-10-01	Subsaharan Africa	Liberia	Liberia	Liberia
EM_004563	KR817104	2015-01-25	Subsaharan Africa	Guinea	Kissidougou	Kissidougou
LIBR10169	KT725382	2014-08-24	Subsaharan Africa	Liberia	Liberia	Liberia
EM_076383	KR817148	2014-10-26	Subsaharan Africa	Guinea	Kerouane	Kerouane
V1081	KR534532	2014-09-22	Subsaharan Africa	Guinea	Conakry	Conakry
PL5361	KU296415	2015-03-26	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G5767.1	KR105327	2014-09-16	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
EM_075435	KR817133	2014-08-30	Subsaharan Africa	Guinea	Kerouane	Kerouane
12781_EMLH	KU296520	2015-04-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK2362	KU296842	2015-02-24	Subsaharan Africa	Sierra Leone	Bombali	Bombali
MK2395	KU296336	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
EM_COY_2015_016449	EM_COY_2015_016449	2015-05-11	Subsaharan Africa	Guinea	Forecariah	Forecariah
G6089.1	KR105345	2014-09-27	Subsaharan Africa	Sierra Leone	Tonkolili	Tonkolili
