strain	accession	date	region	country	division	city
77577_EMLK	KU296533	2015-01-03	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
LIBR10101	KT725331	2014-08-22	Subsaharan Africa	Liberia	Liberia	Liberia
PL4679	KU296623	2015-03-12	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
MK3479	KU296483	2015-03-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
KT5542	KU296557	2015-02-20	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
G5988.1	KR105336	2014-09-25	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
J0054	KP759722	2014-10-06	Subsaharan Africa	Sierra Leone	Western Rural	Western Rural
V787	KR534522	2014-08-28	Subsaharan Africa	Guinea	Conakry	Conakry
V1277	KR534543	2014-10-04	Subsaharan Africa	Guinea	Coyah	Coyah
LIBR10071	KT725308	2014-09-20	Subsaharan Africa	Liberia	Montserrado	Montserrado
LIBR0229	KT725333	2014-11-17	Subsaharan Africa	Liberia	Grand Bassa	Grand Bassa
V1059	KR534529	2014-09-21	Subsaharan Africa	Guinea	Conakry	Conakry
PL5228	KU296535	2015-03-23	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM124	KM233045	2014-06-04	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
V1331	KR534548	2014-10-07	Subsaharan Africa	Guinea	Kerouane	Kerouane
PL7605	KU296486	2015-06-04	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
KG45	KG45	2015-06-09	Subsaharan Africa	Guinea	Boke	Boke
12767_EMLH	KU296768	2015-04-04	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
MK2365	KU296363	2015-02-25	Subsaharan Africa	Sierra Leone	Bombali	Bombali
J0061	KP759637	2014-10-10	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
15470_EMLK	KU296543	2015-06-16	Subsaharan Africa	Sierra Leone	Kambia	Kambia
DML24720	KT357846	2015-01-29	Subsaharan Africa	Sierra Leone	Kono	Kono
LIBR0993	KR006960	2015-01-20	Subsaharan Africa	Liberia	Montserrado	Montserrado
PL8780	KU296404	2015-07-03	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
EM_COY_2015_017574	EM_COY_2015_017574	2015-06-10	Subsaharan Africa	Guinea	Boke	Boke
J0017	KP759747	2014-09-26	Subsaharan Africa	Sierra Leone	Bombali	Bombali
380_EMLH	KU296377	2015-01-22	Subsaharan Africa	Sierra Leone	Sierra Leone	Sierra Leone
DML24552	KT357829	2015-01-17	Subsaharan Africa	Sierra Leone	Kono	Kono
77601_EMLK	KU296826	2015-01-05	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
EM_076217	KR817144	2014-10-19	Subsaharan Africa	Guinea	Macenta	Macenta
632_EMLH	KU296693	2015-02-06	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
DML25103	KT357853	2015-02-19	Subsaharan Africa	Sierra Leone	Kono	Kono
J0104	KP759765	2014-10-29	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
V20144820	KR653243	2014-11-15	Subsaharan Africa	Sierra Leone	Moyamba	Moyamba
DML12120	KT357817	2015-02-27	Subsaharan Africa	Sierra Leone	Western Urban	Western Urban
PL5019	KU296627	2015-03-19	Subsaharan Africa	Sierra Leone	Port Loko	Port Loko
PL4292	KU296827	2015-03-03	Subsaharan Africa	Sierra Leone	Kambia	Kambia
G4255.1	KR105226	2014-07-11	Subsaharan Africa	Sierra Leone	Kailahun	Kailahun
EM_079410	KR817182	2014-03-31	Subsaharan Africa	Guinea	Gueckedou	Gueckedou
